keys;en;pt
XR_PLAYER_MENU_BTN_PRESS;"Press menu button again
to return to main menu.";"Prima novamente o botão de menu
para regressar ao menu principal."
MM_MAP_CHANGE_LANG_BTN;Change language;Alterar a língua
MM_MAP_CHOOSE_DESTINATION;Choose your destination!;Escolha o seu destino!
RETURN_TO_MM_LBL;Return;Regressar
CLOSE_LBL;Close;Fechar
NEAR_THE_COAST_LBL;Coastal Area;Área Costeira
OFFSHORE_LBL;Continental Shelf;Plataforma Continental
UI_FACT_LBL;Fact:;Fato:
SHORE_INITIAL_UI_LOC_NAME;Coastal Area;Área Costeira
SHORE_INITIAL_UI_CONTENT;Dominated by golden limestone cliffs, formed around 20 million years ago on the ocean floor. Over time, tectonic movements raised the sea floor, exposing these fossil-rich rocks that now make up the cliffs. This process led to the formation of fascinating sea caves sculpted by waves, rain and winds, which are now explored by many tourist boats. Bottlenose dolphins are frequently observed in these coastal environments searching for food and calm waters for breeding and socializing.;Dominada por falésias de calcário dourado, formadas há cerca de 20 milhões de anos no fundo do oceano. Ao longo do tempo, os movimentos tectónicos elevaram o fundo do mar, expondo estas rochas repletas de fósseis que hoje compõem as falésias. Este processo permitiu a formação de fascinantes grutas marinhas esculpidas pelas ondas, chuvas e ventos que hoje em dia são exploradas por muitos barcos de turismo.  Golfinhos roazes-corvineiros são constantemente observados nestes ambientes costeiros em busca de alimentos e águas calmas para reprodução e socialização.
SHORE_INITIAL_UI_SPECIES_LBL;Most observed cetaceans:;Cetáceos mais observados:
SHORE_INITIAL_UI_SPECIES_CONTENT;Bottlenose dolphin and harbour porpoise.;roaz-corvineiro e boto.
SHORE_INITIAL_UI_FACT_CONTENT_1;Something;Algo
SHORE_INITIAL_UI_FACT_CONTENT_2;Something;Algo
SHORE_INITIAL_UI_FACT_CONTENT_3;Something;Algo
SHORE_INITIAL_UI_FACT_CONTENT_4;Something;Algo
SHORE_FINAL_UI_L_LOC_NAME;Harbour Porpoise (Phocoena phocoena);Boto (Phocoena phocoena)
SHORE_FINAL_UI_L_CONTENT;Size: 1.50 to 1.90m in length, rarely exceeding 2m.\nWeight: 55 to 65 kg\nDiet: Typically feeds on the seafloor, catching fish between 10 - 30 cm and cephalopods.\nHabitat: Predominantly found in shallow waters (up to 200m) in subpolar and temperate regions of the Northern Hemisphere.\nFun Fact: It usually hunts alone, without cooperative behaviors.;Tamanho: 1,50 a 1,90m de comprimento, raramente passa os 2 metros.\nPeso: 55 a 65 kg\nAlimentação: Alimenta-se geralmente no fundo, capturando peixes entre 10 - 30cm e cefalópodes.\nÁrea de ocorrência: Distribuem-se predominantemente por águas rasas (até 200m) subpolares e temperadas do hemisfério Norte.\nCuriosidade: Costuma caçar seus alimentos sozinho, sem hábitos cooperativos.
SHORE_FINAL_UI_C_LOC_NAME;Bottlenose Dolphin (Tursiops truncatus);Roaz-corvineiro (Tursiops truncatus)
SHORE_FINAL_UI_C_CONTENT;Size: 2 to 4 m in length\nWeight: 150 to 600 kg\nDiet: Fish and cephalopods\nHabitat: Found in tropical and temperate seas worldwide. It is commonly found in coastal habitats such as beaches, estuaries, bays, mangroves, reefs, and even lower sections of rivers.\nFun Fact: It is the most internationally used species in captivity, found in dolphinariums and aquariums;Tamanho: 2 a 4m de comprimento\nPeso: 150 a 600 kg\nAlimentação: peixes e cefalópodes.\nÁrea de ocorrência: mares tropicais e temperados do planeta. É facilmente encontrada em habitats costeiros como: praias, estuários, baías, mangais, recifes e até mesmo nas secções mais baixas de rios.\nCuriosidade: é a espécie internacionalmente mais usada em cativeiro, em delfinários e parques aquáticos.
